sample_index,time_s,robot_x,robot_y,robot_z,force_N,nearest_acupoint,nearest_acupoint_x,nearest_acupoint_y,nearest_acupoint_z,distance_m,distance_mm,is_contact,section,side,region
0,0.0,-0.188,-0.048,0.69,5.8,附分,-0.188,-0.048,0.69,0.0,0.0,True,Upper Back,left,upper_back_left
1,0.05,-0.184,-0.049,0.688,6.1,附分,-0.188,-0.048,0.69,0.004583,4.583,True,Upper Back,left,upper_back_left
2,0.1,-0.145,-0.06,0.682,7.0,天宗,-0.145,-0.06,0.682,0.0,0.0,True,Upper Back,left,upper_back_left
3,0.15,-0.142,-0.061,0.681,7.3,天宗,-0.145,-0.06,0.682,0.003317,3.317,True,Upper Back,left,upper_back_left
4,0.2,0.0,-0.03,0.62,8.6,至阳,0.0,-0.03,0.62,0.0,0.0,True,Mid Back,center,spine_center
5,0.25,0.003,-0.031,0.619,8.9,至阳,0.0,-0.03,0.62,0.003317,3.317,True,Mid Back,center,spine_center
6,0.3,-0.08,-0.045,0.605,6.8,骨缝,-0.08,-0.045,0.605,0.0,0.0,True,Mid Back,left,middle_back_left
7,0.35,-0.077,-0.046,0.604,7.2,骨缝,-0.08,-0.045,0.605,0.003317,3.317,True,Mid Back,left,middle_back_left
8,0.4,0.095,-0.05,0.545,10.5,肾俞,0.095,-0.05,0.545,0.0,0.0,True,Lower Back,right,lower_back_right
9,0.45,0.092,-0.051,0.544,11.1,肾俞,0.095,-0.05,0.545,0.003317,3.317,True,Lower Back,right,lower_back_right
10,0.5,0.0,-0.035,0.525,9.4,腰阳关,0.0,-0.035,0.525,0.0,0.0,True,Lower Back,center,spine_center
11,0.55,0.002,-0.034,0.524,9.8,腰阳关,0.0,-0.035,0.525,0.002449,2.449,True,Lower Back,center,spine_center
