time_s,normal_force_N,indentation_mm,probe_x_mm,probe_y_mm,probe_z_mm,tangential_force_N,x_displacement_mm
0.0,0.0,0.0397,-40.0,0.0,-0.0397,0.0,0.0
0.01,0.125,0.6708,-40.0,0.0,-0.6708,0.0,0.0
0.02,0.25,0.7905,-40.0,0.0,-0.7905,0.0,0.0
0.03,0.375,0.9173,-40.0,0.0,-0.9173,0.0,0.0
0.04,0.5,0.8335,-40.0,0.0,-0.8335,0.0,0.0
0.05,0.625,0.8904,-40.0,0.0,-0.8904,0.0,0.0
0.06,0.75,1.0922,-40.0,0.0,-1.0922,0.0,0.0
0.07,0.875,1.0841,-40.0,0.0,-1.0841,0.0,0.0
0.08,1.0,1.042,-40.0,0.0,-1.042,0.0,0.0
0.09,1.125,1.1798,-40.0,0.0,-1.1798,0.0,0.0
0.1,1.25,1.1561,-40.0,0.0,-1.1561,0.0,0.0
0.11,1.375,1.2127,-40.0,0.0,-1.2127,0.0,0.0
0.12,1.5,1.3262,-40.0,0.0,-1.3262,0.0,0.0
0.13,1.625,1.2106,-40.0,0.0,-1.2106,0.0,0.0
0.14,1.75,1.2825,-40.0,0.0,-1.2825,0.0,0.0
0.15,1.875,1.4323,-40.0,0.0,-1.4323,0.0,0.0
0.16,2.0,1.4531,-40.0,0.0,-1.4531,0.0,0.0
0.17,2.125,1.616,-40.0,0.0,-1.616,0.0,0.0
0.18,2.25,1.5751,-40.0,0.0,-1.5751,0.0,0.0
0.19,2.375,1.5916,-40.0,0.0,-1.5916,0.0,0.0
0.2,2.5,1.8786,-40.0,0.0,-1.8786,0.0,0.0
0.21,2.625,1.8001,-40.0,0.0,-1.8001,0.0,0.0
0.22,2.75,1.8804,-40.0,0.0,-1.8804,0.0,0.0
0.23,2.875,1.8178,-40.0,0.0,-1.8178,0.0,0.0
0.24,3.0,1.9451,-40.0,0.0,-1.9451,0.0,0.0
0.25,3.125,2.0543,-40.0,0.0,-2.0543,0.0,0.0
0.26,3.25,2.0102,-40.0,0.0,-2.0102,0.0,0.0
0.27,3.375,2.1891,-40.0,0.0,-2.1891,0.0,0.0
0.28,3.5,2.1679,-40.0,0.0,-2.1679,0.0,0.0
0.29,3.625,2.2494,-40.0,0.0,-2.2494,0.0,0.0
0.3,3.75,2.2814,-40.0,0.0,-2.2814,0.0,0.0
0.31,3.875,2.5345,-40.0,0.0,-2.5345,0.0,0.0
0.32,4.0,2.4421,-40.0,0.0,-2.4421,0.0,0.0
0.33,4.125,2.4154,-40.0,0.0,-2.4154,0.0,0.0
0.34,4.25,2.6226,-40.0,0.0,-2.6226,0.0,0.0
0.35,4.375,2.516,-40.0,0.0,-2.516,0.0,0.0
0.36,4.5,2.6872,-40.0,0.0,-2.6872,0.0,0.0
0.37,4.625,2.5705,-40.0,0.0,-2.5705,0.0,0.0
0.38,4.75,2.6778,-40.0,0.0,-2.6778,0.0,0.0
0.39,4.875,2.8567,-40.0,0.0,-2.8567,0.0,0.0
0.4,5.0,2.9568,-40.0,0.0,-2.9568,0.0,0.0
0.41,5.125,2.9683,-40.0,0.0,-2.9683,0.0,0.0
0.42,5.25,3.0021,-40.0,0.0,-3.0021,0.0,0.0
0.43,5.375,3.0441,-40.0,0.0,-3.0441,0.0,0.0
0.44,5.5,3.0067,-40.0,0.0,-3.0067,0.0,0.0
0.45,5.625,3.1242,-40.0,0.0,-3.1242,0.0,0.0
0.46,5.75,3.2018,-40.0,0.0,-3.2018,0.0,0.0
0.47,5.875,3.38,-40.0,0.0,-3.38,0.0,0.0
0.48,6.0,3.3798,-40.0,0.0,-3.3798,0.0,0.0
0.49,6.125,3.268,-40.0,0.0,-3.268,0.0,0.0
